"TaxonPair","PairLabel","est_M0","se_M0","p_M0","est_M1","se_M1","p_M1","sig_M0","sig_M1","shrinkage_pct","verdict"
"Coccomyxa","Coccomyxa",-0.181043406563288,0.166351777140446,0.276656751914467,-0.074244485171743,0.164053870773777,0.650939713910188,"ns","ns",59,"was NS, stays NS"
"Symbiochloris","Symbiochloris",1.38598766435477,0.166351777140446,1.99898370902719e-16,1.22726538078104,0.16463242530371,1.63573951731814e-13,"***","***",11.5,"SURVIVES"
"Trebouxia_vs_Myrmecia","Trebouxia",3.99005113761405,0.166351777140446,1.38013369551891e-105,3.60110576297446,0.169832142667691,4.31626165329972e-86,"***","***",9.7,"SURVIVES"
"Asterochloris_vs_Myrmecia","Asterochloris",0.420626168882567,0.166351777140446,0.0115713490060565,0.463172623804134,0.163649980012183,0.00472235585515702,"*","**",-10.1,"SURVIVES"
