"TaxonPair","mean_dN_Lichen-forming","mean_dN_Free-living","mean_dS_Lichen-forming","mean_dS_Free-living","delta_dN","pct_change_dN","delta_dS","pct_change_dS"
"Asterochloris_vs_Myrmecia",0.0823897297297297,0.0689708108108108,1.29971675675676,1.34687837837838,0.0134189189189189,19.4559390576507,-0.0471616216216217,-3.5015501309334
"Coccomyxa",0.0555054054054054,0.0453524324324324,1.03239243243243,1.15077621621622,0.010152972972973,22.3868322566804,-0.118383783783784,-10.2872984439175
"Symbiochloris",0.0520086486486486,0.0567567567567568,1.32149891891892,1.14555945945946,-0.00474810810810811,-8.36571428571429,0.17593945945946,15.3583873806496
"Trebouxia_vs_Myrmecia",0.0753848648648649,0.0689708108108108,1.77801405405405,1.34687837837838,0.00641405405405406,9.29966456628734,0.431135675675676,32.0099930770852
