"TaxonPair","PairLabel","n_SOGs","dS_slope","dS_slope_se","est_lifestyle","se_lifestyle","t_lifestyle","df_lifestyle","p_lifestyle","sig"
"Coccomyxa","Coccomyxa",185,1.05338407935754,0.229744679626256,-0.0563398134702339,0.142215183460102,-0.39615891988101,192.246580776745,0.692427133969189,"ns"
"Symbiochloris","Symbiochloris",185,1.18630789010787,0.201240509249233,1.17726929541671,0.140998370800499,8.34952410253335,193.988759313415,1.28023407890319e-14,"***"
"Trebouxia_vs_Myrmecia","Trebouxia",185,1.10447965477808,0.212906262891851,3.51387055538126,0.197277873969847,17.8117823589195,218.791366891352,1.86129510384989e-44,"***"
"Asterochloris_vs_Myrmecia","Asterochloris",185,1.1540997034237,0.238044288512647,0.475055382409063,0.171994635556775,2.76203604182904,187.123795451266,0.00631709974299386,"**"
