"Pair","PhyDist","delta_dS"
"Coccomyxa",0.541862346413594,-0.118383783783784
"Symbiochloris",0.567187634710644,0.175939459459461
"Trebouxia_vs_Myrmecia",0.969050745517207,0.431135675675678
"Asterochloris_vs_Myrmecia",1.03174802062817,-0.0471616216216373
