gene_id,sequence_id,ENC,GC1,GC2,GC3,RSCU_ATG,RSCU_GAC,RSCU_TCC,RSCU_CTG,RSCU_CCT,RSCU_GTG,RSCU_TTC,RSCU_CAG,RSCU_CCG,RSCU_GCC,RSCU_CTC,RSCU_ACA,RSCU_TGT,RSCU_GCA,RSCU_CCA,RSCU_GCT,RSCU_GAG,RSCU_GAA,RSCU_GAT,RSCU_GGC,RSCU_CGT,RSCU_AGA,RSCU_CGG,RSCU_CGC,RSCU_ACC,RSCU_AGG,RSCU_GCG,RSCU_AAG,RSCU_GGA,RSCU_TAC,RSCU_CTT,RSCU_ATT,RSCU_TGG,RSCU_AGT,RSCU_TTT,RSCU_AGC,RSCU_TCT,RSCU_ACT,RSCU_CCC,RSCU_ACG,RSCU_GTA,RSCU_ATA,RSCU_GTT,RSCU_GGT,RSCU_TCA,RSCU_AAT,RSCU_CGA,RSCU_GGG,RSCU_CAA,RSCU_AAA,RSCU_TCG,RSCU_CAC,RSCU_TTG,RSCU_CTA,RSCU_TAT,RSCU_ATC,RSCU_TGC,RSCU_AAC,RSCU_GTC,RSCU_CAT,RSCU_TTA
OG0003372,0,42.49220016523776,0.7025862068965517,0.41379310344827586,0.7737556561085973,0.3333333333333333,0.2222222222222222,0.25,1.6666666666666667,1.7142857142857142,2.0,0.42857142857142855,2.6666666666666665,1.0666666666666667,0.6666666666666666,1.25,0.5,2.0,0.5454545454545455,0.4,0.18181818181818182,3.6363636363636367,0.36363636363636365,1.0,1.6666666666666667,1.2000000000000002,0.4,0.8,1.0666666666666667,1.0666666666666667,0.26666666666666666,0.8,0.26666666666666666,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OG0003372,1,45.569120501290236,0.6408163265306123,0.44081632653061226,0.7186147186147186,1.3333333333333333,0.8695652173913043,0.46153846153846156,0.4,2.0,0.3333333333333333,,0.8421052631578947,,,,0.9600000000000001,,0.2222222222222222,,1.2173913043478262,0.6666666666666666,2.4444444444444446,0.2857142857142857,1.0,,1.44,,1.263157894736842,,0.6666666666666666,,0.6666666666666666,1.0,,0.5925925925925926,0.5217391304347826,0.4444444444444444,1.263157894736842,0.631578947368421,1.5555555555555556,0.5217391304347826,0.46153846153846156,3.4615384615384612,0.8571428571428571,1.391304347826087,0.18181818181818182,0.72,0.24000000000000002,,,,,,,,,,,,,,,,,
OG0003372,2,48.79997326306794,0.6707317073170732,0.3983739837398374,0.6721991701244814,,2.4000000000000004,,,,0.21052631578947367,1.28,1.3846153846153848,0.46153846153846156,,1.1764705882352942,0.7058823529411765,,0.8888888888888888,0.9230769230769231,1.1666666666666667,2.0,1.7894736842105263,0.6666666666666666,1.1764705882352942,,1.1764705882352942,0.9230769230769231,,0.6000000000000001,0.4444444444444444,0.6666666666666666,0.46153846153846156,,0.25,,0.6666666666666666,0.5714285714285714,1.5,0.47058823529411764,,,1.75,,0.6000000000000001,1.3333333333333333,,0.2,1.3846153846153848,0.375,0.6666666666666666,1.6470588235294117,1.0,1.153846153846154,0.6666666666666666,,,,,,,,,,,
OG0003372,3,44.87508682695495,0.691358024691358,0.448559670781893,0.7510729613733905,1.8666666666666667,0.4,,0.7692307692307693,0.9,,,0.25,1.5384615384615385,1.6363636363636362,,1.1111111111111112,,0.5,0.7741935483870968,0.5806451612903226,2.181818181818182,3.67741935483871,2.2,1.0,1.5,,0.6666666666666666,0.5333333333333333,,,,0.26666666666666666,,,,,,1.1111111111111112,,1.4545454545454546,,0.6000000000000001,1.3333333333333333,1.5,,,,1.5384615384615385,,,,0.7692307692307693,,1.3333333333333333,0.3870967741935484,1.75,0.5454545454545455,2.1,0.8888888888888888,,,,,,
OG0003372,4,48.49405080479336,0.6178861788617886,0.4105691056910569,0.6291666666666667,,2.709677419354839,,0.8,0.6666666666666666,1.894736842105263,0.47058823529411764,,,1.4545454545454546,,1.3548387096774195,,0.7272727272727273,0.9230769230769231,0.47058823529411764,1.9047619047619047,1.2727272727272727,2.2857142857142856,1.0,,0.38095238095238093,,,,,,1.2,0.6000000000000001,,,,0.6666666666666666,0.631578947368421,,1.3333333333333333,,0.2857142857142857,1.3333333333333333,0.6666666666666666,,0.9411764705882353,0.1935483870967742,1.2307692307692308,0.5454545454545454,,,,0.2857142857142857,1.1428571428571428,,0.3157894736842105,1.5294117647058822,,,2.0,1.3333333333333333,0.3870967741935484,1.263157894736842,,
OG0003372,5,53.257188810902385,0.6157894736842106,0.37894736842105264,0.5164835164835165,1.2307692307692308,,,,,,0.6153846153846154,1.2307692307692308,1.3333333333333333,,1.1428571428571428,,,0.5714285714285714,,1.7142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.5714285714285714,,,,,,,,,,,
OG0003372,6,52.559169313371896,0.6774193548387096,0.3951612903225806,0.448559670781893,,1.894736842105263,0.4,,1.0909090909090908,0.8571428571428571,,1.263157894736842,,0.9230769230769231,,0.9411764705882353,,0.8,1.0,1.1111111111111112,0.8333333333333334,1.5555555555555556,0.2857142857142857,2.064516129032258,,0.4444444444444444,,0.9411764705882353,,,1.1666666666666667,1.090909090909091,1.0769230769230769,0.6666666666666666,0.23529411764705882,,,,,0.5714285714285714,,1.1428571428571428,,,1.2000000000000002,,,1.2000000000000002,,1.1428571428571428,0.8888888888888888,,1.3333333333333333,1.8823529411764706,,,,,,,1.6,1.0,,0.6451612903225806,
OG0003374,0,39.41520571284002,0.6144329896907217,0.35051546391752575,0.8326271186440678,0.26666666666666666,0.8,,1.0,,0.09836065573770493,0.2222222222222222,,,0.5625,,0.29508196721311475,,0.7272727272727273,,,1.6470588235294117,,,0.8571428571428571,0.4,,,,1.5294117647058822,1.0,1.696969696969697,0.35294117647058826,,,1.0714285714285716,1.2727272727272727,,,,,,,,,0.43478260869565216,,,0.4,,0.75,,0.5,,1.0819672131147542,0.21428571428571427,,,,,0.12903225806451613,,1.8461538461538463,,,
OG0003374,1,43.14172918858766,0.6275720164609053,0.3765432098765432,0.740506329113924,0.9552238805970149,1.153846153846154,,0.8571428571428571,,0.7272727272727273,0.2,,,0.16216216216216217,,1.153846153846154,,1.1428571428571428,,0.37735849056603776,0.7142857142857143,1.5294117647058822,1.1666666666666667,3.1000000000000005,,,,,,,0.6486486486486487,0.47058823529411764,,1.0,1.0,1.0769230769230769,,,,,0.5555555555555556,0.7000000000000001,,,,,0.2,1.3846153846153848,,1.6226415094339623,0.36363636363636365,,,2.2702702702702706,,,0.5555555555555556,1.0666666666666667,,,0.1111111111111111,,,1.6216216216216217,
OG0003374,2,39.75866117392483,0.6049382716049383,0.3497942386831276,0.8076109936575053,1.0909090909090908,0.4067796610169492,,1.263157894736842,,0.07692307692307693,0.2222222222222222,1.9230769230769231,,1.2307692307692308,,0.3157894736842105,,0.3508771929824561,,0.17142857142857143,0.27586206896551724,1.75,1.2,0.967741935483871,,0.9152542372881357,0.5454545454545454,,1.6363636363636365,,1.103448275862069,0.25,,1.0,2.0,,,2.4,,1.2857142857142858,,,,,,0.7692307692307693,,,0.42105263157894735,0.967741935483871,,,,0.7142857142857143,0.36363636363636365,,1.0,,,,1.3793103448275863,1.6491228070175439,0.1016949152542373,,
