"Pair","PhyDist","Lichen-forming","Free-living","delta_dS"
"Coccomyxa",0.541862346413594,1.03239243243243,1.15077621621622,-0.118383783783784
"Symbiochloris",0.567187634710644,1.32149891891892,1.14555945945946,0.17593945945946
"Trebouxia_vs_Myrmecia",0.969050745517207,1.77801405405405,1.34687837837838,0.431135675675676
"Asterochloris_vs_Myrmecia",1.03174802062817,1.29971675675676,1.34687837837838,-0.0471616216216217
