OG,Branch,K,Relaxation Parameter (K),p-value
OG0003370.json,Ast_eri,1.285854090820636,1.234477957253553,0.1284869902978816
OG0003370.json,Coc_sub,9.751009170450585,1.234477957253553,0.1284869902978816
OG0003370.json,Coc_vir,2.378160385464239,1.234477957253553,0.1284869902978816
OG0003370.json,Myr_bis,1.357129662091588,1.234477957253553,0.1284869902978816
OG0003370.json,Node2,1.879497706780226,1.234477957253553,0.1284869902978816
OG0003370.json,Node3,2.87086468969278,1.234477957253553,0.1284869902978816
OG0003370.json,Node4,2.257011299641289,1.234477957253553,0.1284869902978816
OG0003370.json,Node7,1.10070443067446,1.234477957253553,0.1284869902978816
OG0003370.json,Sym_irr,5.235467713761573,1.234477957253553,0.1284869902978816
OG0003370.json,Sym_ret,5.898704609954155,1.234477957253553,0.1284869902978816
OG0003370.json,Tre_spC0010,3.803744579109983,1.234477957253553,0.1284869902978816
OG0003372.json,Ast_eri,0.2287241164055248,1.145818224019842,0.3882859823112406
OG0003372.json,Coc_sub,1.90787381586877,1.145818224019842,0.3882859823112406
OG0003372.json,Coc_vir,0.343144045975391,1.145818224019842,0.3882859823112406
OG0003372.json,Myr_bis,0.2930349280866594,1.145818224019842,0.3882859823112406
OG0003372.json,Node2,1.386433459226987,1.145818224019842,0.3882859823112406
OG0003372.json,Node3,1.102950264007807,1.145818224019842,0.3882859823112406
OG0003372.json,Node4,2.430675648923275,1.145818224019842,0.3882859823112406
OG0003372.json,Node7,0.2369367516607793,1.145818224019842,0.3882859823112406
OG0003372.json,Sym_irr,0.3118188095841149,1.145818224019842,0.3882859823112406
OG0003372.json,Sym_ret,0.3137433378216734,1.145818224019842,0.3882859823112406
OG0003372.json,Tre_spC0010,0.4457458625135841,1.145818224019842,0.3882859823112406
OG0003374.json,Ast_eri,0.385495706901816,1.655538458897417,0.000846578624171257
OG0003374.json,Coc_sub,8.649514780145685,1.655538458897417,0.000846578624171257
OG0003374.json,Coc_vir,0.5913972751879706,1.655538458897417,0.000846578624171257
OG0003374.json,Myr_bis,1.293184700763303,1.655538458897417,0.000846578624171257
OG0003374.json,Node2,0.9252337585185189,1.655538458897417,0.000846578624171257
OG0003374.json,Node3,1.510310311479937,1.655538458897417,0.000846578624171257
OG0003374.json,Node4,0.6992764828492231,1.655538458897417,0.000846578624171257
OG0003374.json,Node7,0.2983074312144129,1.655538458897417,0.000846578624171257
OG0003374.json,Sym_irr,1.471748965011304,1.655538458897417,0.000846578624171257
OG0003374.json,Sym_ret,10.01554210468719,1.655538458897417,0.000846578624171257
OG0003374.json,Tre_spC0010,7.244519450032329,1.655538458897417,0.000846578624171257
OG0003378.json,Ast_eri,0.8380556325531501,2.595540592843846,0.005487546095920059
OG0003378.json,Coc_sub,1.067640127420529,2.595540592843846,0.005487546095920059
OG0003378.json,Coc_vir,2.284642699006783,2.595540592843846,0.005487546095920059
OG0003378.json,Myr_bis,0.5882531965527984,2.595540592843846,0.005487546095920059
OG0003378.json,Node2,0.9588696728675385,2.595540592843846,0.005487546095920059
OG0003378.json,Node3,0.6976062327411028,2.595540592843846,0.005487546095920059
OG0003378.json,Node6,1.05643328532,2.595540592843846,0.005487546095920059
OG0003378.json,Node9,2.951489796496523,2.595540592843846,0.005487546095920059
OG0003378.json,Sym_irr,1.017367201103698,2.595540592843846,0.005487546095920059
OG0003378.json,Sym_ret,2.364007321609417,2.595540592843846,0.005487546095920059
OG0003378.json,Tre_spC0010,1.983787420685781,2.595540592843846,0.005487546095920059
OG0003379.json,Ast_eri,3.908356167249681,0.9847833601343952,0.688281306566186
OG0003379.json,Coc_sub,50,0.9847833601343952,0.688281306566186
OG0003379.json,Coc_vir,28.23255956018353,0.9847833601343952,0.688281306566186
OG0003379.json,Myr_bis,20.63326319541283,0.9847833601343952,0.688281306566186
OG0003379.json,Node2,1.768821071079659,0.9847833601343952,0.688281306566186
OG0003379.json,Node3,4.041154018089071,0.9847833601343952,0.688281306566186
OG0003379.json,Node4,2.388300936412622,0.9847833601343952,0.688281306566186
OG0003379.json,Node7,1.337785179765276,0.9847833601343952,0.688281306566186
OG0003379.json,Sym_irr,2.867238741794767,0.9847833601343952,0.688281306566186
OG0003379.json,Sym_ret,43.3855685847106,0.9847833601343952,0.688281306566186
OG0003379.json,Tre_spC0010,2.485213653901768,0.9847833601343952,0.688281306566186
OG0003380.json,Ast_eri,1.572028067700279,1,1
OG0003380.json,Coc_sub,4.193932908067612,1,1
OG0003380.json,Coc_vir,0.3662528295616265,1,1
OG0003380.json,Myr_bis,1.682567828545694,1,1
OG0003380.json,Node2,2.66620326178311,1,1
OG0003380.json,Node3,6.420419970528569,1,1
OG0003380.json,Node4,0.5932267717202774,1,1
OG0003380.json,Node7,0.601293176833914,1,1
OG0003380.json,Sym_irr,2.437417449094784,1,1
OG0003380.json,Sym_ret,7.923678777599146,1,1
OG0003380.json,Tre_spC0010,6.113735028103713,1,1
OG0003381.json,Ast_eri,0.1579072420875466,1.332583407883099,0.07971694520043271
OG0003381.json,Coc_sub,0.3914050618980873,1.332583407883099,0.07971694520043271
OG0003381.json,Coc_vir,0.1564065285792919,1.332583407883099,0.07971694520043271
OG0003381.json,Myr_bis,0.1873564244599968,1.332583407883099,0.07971694520043271
OG0003381.json,Node2,0.08208766372832355,1.332583407883099,0.07971694520043271
OG0003381.json,Node3,1.194637046124841,1.332583407883099,0.07971694520043271
OG0003381.json,Node4,0.3846024012453813,1.332583407883099,0.07971694520043271
OG0003381.json,Node7,0.1539939345193169,1.332583407883099,0.07971694520043271
OG0003381.json,Sym_irr,0.1568316197997733,1.332583407883099,0.07971694520043271
OG0003381.json,Sym_ret,0.2491563756449466,1.332583407883099,0.07971694520043271
OG0003381.json,Tre_spC0010,0.194698563130658,1.332583407883099,0.07971694520043271
OG0003382.json,Ast_eri,1.434817438701359,0.961065972557383,0.8059524418556601
OG0003382.json,Coc_sub,2.665565925404133,0.961065972557383,0.8059524418556601
OG0003382.json,Coc_vir,2.427157285106315,0.961065972557383,0.8059524418556601
