gene_id,sequence_id,ENC,ENC_prime,GC1,GC2,GC3,GC12
OG0003370,0,40.304368930031146,47.09510353171306,0.6343283582089552,0.4266169154228856,0.7835820895522387,0.5304726368159204
OG0003370,1,37.850193589323226,45.22052894574476,0.5840266222961731,0.4292845257903494,0.8336106489184691,0.5066555740432612
OG0003370,2,38.321601004025766,45.70024348646818,0.5939086294416243,0.4010152284263959,0.8350253807106599,0.4974619289340101
OG0003370,3,41.58634300177478,48.14032320387696,0.6127247579529738,0.3997233748271093,0.7911479944674965,0.5062240663900415
OG0003370,4,41.669210018798125,47.70114627231486,0.6100917431192661,0.4250764525993884,0.7706422018348624,0.5175840978593272
OG0003370,5,43.793330393309404,48.22549245817984,0.5881595881595881,0.398970398970399,0.7413127413127414,0.49356499356499356
OG0003370,6,50.508085424945335,53.13522323714817,0.5754475703324808,0.40025575447570333,0.6713554987212276,0.48785166240409206
OG0003372,0,42.35995961584205,48.2064118770712,0.6945606694560669,0.41841004184100417,0.7782426778242677,0.5564853556485355
OG0003372,1,44.89747225836804,50.201501358291566,0.6402877697841727,0.4460431654676259,0.7338129496402878,0.5431654676258992
OG0003372,2,48.91617628027752,51.7802827753881,0.6620689655172414,0.41379310344827586,0.693103448275862,0.5379310344827586
OG0003372,3,44.737699850102345,51.65401073418085,0.6862745098039216,0.4588235294117647,0.7568627450980392,0.5725490196078431
OG0003372,4,48.9061505476704,51.10060869075015,0.6223021582733813,0.4136690647482014,0.6402877697841727,0.5179856115107914
OG0003372,5,53.66330187558518,53.34184425595391,0.6285714285714286,0.3857142857142857,0.5333333333333333,0.5071428571428571
OG0003372,6,51.987921493794985,50.944491745577444,0.6576923076923077,0.4,0.47307692307692306,0.5288461538461539
OG0003374,0,39.50425553878677,45.526951249222975,0.6117886178861789,0.3516260162601626,0.8333333333333333,0.4817073170731707
OG0003374,1,43.09271628566064,47.98978343924466,0.6227180527383367,0.3793103448275862,0.742393509127789,0.5010141987829615
OG0003374,2,39.75229752096542,45.010119582612575,0.6024340770791076,0.3509127789046653,0.8093306288032454,0.47667342799188644
OG0003374,3,38.74613722595051,45.49342505758332,0.593939393939394,0.3696969696969697,0.8282828282828283,0.4818181818181818
OG0003374,4,42.4660979307683,46.92112418533708,0.6186612576064908,0.38539553752535494,0.7464503042596349,0.5020283975659229
