OG,Branch,K,Relaxation Parameter (K),p-value
OG0003370.json,Ast_eri,1.315938399847687,0.9912436374015254,0.9112107381139017
OG0003370.json,Coc_sub,9.106031196478204,0.9912436374015254,0.9112107381139017
OG0003370.json,Coc_vir,2.3526961660212,0.9912436374015254,0.9112107381139017
OG0003370.json,Myr_bis,1.382586353506646,0.9912436374015254,0.9112107381139017
OG0003370.json,Node2,1.886118272339087,0.9912436374015254,0.9112107381139017
OG0003370.json,Node3,2.849640559199368,0.9912436374015254,0.9112107381139017
OG0003370.json,Node4,2.241489857091928,0.9912436374015254,0.9112107381139017
OG0003370.json,Node7,1.099706278987013,0.9912436374015254,0.9112107381139017
OG0003370.json,Sym_irr,4.925374260937304,0.9912436374015254,0.9112107381139017
OG0003370.json,Sym_ret,5.532033910666835,0.9912436374015254,0.9112107381139017
OG0003370.json,Tre_spC0010,3.574674592507586,0.9912436374015254,0.9112107381139017
OG0003372.json,Ast_eri,0.227470493689761,3.238632608940804,0.08682945793221186
OG0003372.json,Coc_sub,1.902157339621115,3.238632608940804,0.08682945793221186
OG0003372.json,Coc_vir,0.341567038091833,3.238632608940804,0.08682945793221186
OG0003372.json,Myr_bis,0.2915833171699718,3.238632608940804,0.08682945793221186
OG0003372.json,Node2,1.386344865939139,3.238632608940804,0.08682945793221186
OG0003372.json,Node3,1.102482057507955,3.238632608940804,0.08682945793221186
OG0003372.json,Node4,2.471039108479862,3.238632608940804,0.08682945793221186
OG0003372.json,Node7,0.2353513931554068,3.238632608940804,0.08682945793221186
OG0003372.json,Sym_irr,0.3100622839335391,3.238632608940804,0.08682945793221186
OG0003372.json,Sym_ret,0.3116351539491768,3.238632608940804,0.08682945793221186
OG0003372.json,Tre_spC0010,0.4424563775054068,3.238632608940804,0.08682945793221186
OG0003374.json,Ast_eri,0.2979785935451306,50,0.003835253925717597
OG0003374.json,Coc_sub,24.41309325474588,50,0.003835253925717597
OG0003374.json,Coc_vir,0.4545316100862284,50,0.003835253925717597
OG0003374.json,Myr_bis,0.2759459361575544,50,0.003835253925717597
OG0003374.json,Node2,1.26841453992614,50,0.003835253925717597
OG0003374.json,Node3,1.170606908801532,50,0.003835253925717597
OG0003374.json,Node4,0.5991877608255046,50,0.003835253925717597
OG0003374.json,Node7,0.195521097577534,50,0.003835253925717597
OG0003374.json,Sym_irr,1.127853770795493,50,0.003835253925717597
OG0003374.json,Sym_ret,32.37395593547679,50,0.003835253925717597
